Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance,Q1 Balance,Q2 Balance,Q3 Balance,Q4 Balance
1261,No,Air Miles,Postcard,High,1,No,High,1,1,1,Yes,1731.75,1736,1801,1761,1629
1262,No,Air Miles,Postcard,Medium,1,No,High,1,2,4,No,993.5,183,468,1326,1997
1263,No,Points,Letter,Medium,1,No,Low,1,2,1,No,1621.5,986,1771,2271,1458
1264,No,Points,Letter,Medium,2,No,Low,3,1,3,Yes,281.25,242,455,277,151
1265,No,Points,Postcard,Medium,2,No,Low,1,1,4,Yes,123.75,190,150,80,75
1266,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,Yes,237.5,101,447,98,304
1267,No,Cash Back,Letter,Medium,1,Yes,Medium,2,3,5,Yes,1256.25,873,528,1509,2115
1268,No,Cash Back,Postcard,High,1,No,High,2,1,2,No,944,718,1525,903,630
1269,No,Cash Back,Letter,Medium,1,No,High,1,1,2,No,964.75,1763,1241,626,229
1270,No,Points,Postcard,Medium,1,No,High,1,2,4,Yes,1226.75,981,1343,900,1683
1271,No,Cash Back,Postcard,Medium,1,No,Low,1,1,3,No,865,890,775,902,893
1272,Yes,Air Miles,Postcard,Low,1,Yes,High,2,1,3,Yes,923.75,308,876,1254,1257
1273,No,Air Miles,Postcard,High,1,No,Medium,1,2,2,No,231.25,32,387,334,172
1274,No,Points,Postcard,Medium,1,No,High,3,2,3,Yes,236,80,310,489,65
1275,No,Air Miles,Letter,Low,2,No,Low,3,2,2,Yes,1125.5,761,1717,1227,797
1276,No,Points,Postcard,Medium,1,No,High,1,1,4,Yes,949.75,1525,867,951,456
1277,No,Air Miles,Postcard,High,1,No,Medium,2,1,5,No,698,706,972,510,604
1278,No,Cash Back,Letter,Medium,1,No,High,1,2,5,No,1387.5,1446,1721,1430,953
1279,No,Points,Postcard,Medium,2,Yes,High,3,1,3,No,949.5,852,1086,1447,413
1280,No,Points,Postcard,Medium,1,Yes,High,3,1,4,Yes,1077.25,425,1228,1681,975
1281,Yes,Points,Letter,High,1,No,High,2,1,4,Yes,930.5,145,581,1738,1258
1282,No,Air Miles,Letter,Low,1,No,Low,2,1,2,Yes,951,1510,1130,815,349
1283,No,Air Miles,Letter,High,1,Yes,High,2,1,2,Yes,941.25,853,629,1317,966
1284,No,Cash Back,Postcard,High,1,No,Medium,1,1,2,No,1127,875,1044,1136,1453
1285,No,Air Miles,Letter,Medium,1,No,Medium,1,1,2,Yes,984.75,1941,1077,758,163
1286,No,Cash Back,Letter,Medium,1,Yes,Medium,1,1,4,No,938.5,583,919,1368,884
1287,No,Points,Letter,Medium,1,No,Medium,2,1,4,No,678,669,727,810,506
1288,No,Points,Letter,Low,1,No,High,3,1,4,Yes,772.25,660,877,618,934
1289,No,Air Miles,Postcard,Medium,1,No,High,2,1,4,Yes,1327.75,1314,1850,1095,1052
1290,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,No,1610.25,1205,1720,1730,1786
1291,No,Points,Letter,Medium,1,No,Medium,1,1,4,Yes,1169.75,765,1674,1469,771
1292,No,Cash Back,Letter,Medium,1,No,High,2,1,4,No,192.75,272,150,92,257
1293,No,Air Miles,Postcard,High,1,No,High,2,1,4,Yes,833.25,177,634,889,1633
1294,No,Cash Back,Letter,High,1,No,Low,1,1,6,No,959,159,1744,1255,678
1295,No,Air Miles,Postcard,Low,1,No,Medium,2,1,3,Yes,1743.5,1646,1740,1932,1656
1296,No,Points,Letter,Medium,1,No,Low,3,1,4,Yes,793.75,651,921,678,925
1297,No,Air Miles,Postcard,Medium,1,No,Low,3,1,3,No,970,455,1739,863,823
1298,No,Cash Back,Postcard,High,2,No,Low,1,1,2,Yes,1089.25,698,1569,1431,659
1299,No,Cash Back,Postcard,Medium,1,Yes,Low,2,1,3,Yes,588,533,517,665,637
1300,No,Air Miles,Postcard,High,1,No,High,3,1,4,No,928,289,552,1616,1255
1301,No,Air Miles,Letter,High,1,No,High,1,2,3,Yes,1249,347,1560,1898,1191
1302,No,Air Miles,Postcard,High,1,No,High,2,1,4,Yes,327,146,302,440,420
1303,Yes,Air Miles,Postcard,Low,1,No,High,1,1,5,Yes,876,537,1483,915,569
1304,No,Points,Postcard,Medium,2,No,High,2,2,6,No,1361.75,609,1556,1698,1584
1305,No,Air Miles,Postcard,Medium,1,No,Low,1,1,3,No,1722.75,1892,1814,1529,1656
1306,No,Cash Back,Letter,Medium,2,No,High,2,1,4,Yes,1127,2181,983,1105,239
1307,No,Air Miles,Postcard,Low,2,No,Medium,1,1,4,No,1201.5,1290,1722,1186,608
1308,No,Points,Postcard,High,1,No,Low,1,1,4,Yes,370,468,409,275,328
1309,No,Air Miles,Letter,High,1,No,High,3,3,4,No,766,676,863,923,602
1310,No,Points,Postcard,Medium,1,Yes,Medium,3,1,4,Yes,1084.5,506,809,1122,1901
1311,No,Points,Postcard,Low,2,No,High,2,2,4,Yes,1411.5,1321,964,1473,1888
1312,No,Cash Back,Letter,Medium,2,No,Medium,1,2,3,Yes,1154.5,552,979,1795,1292
1313,No,Cash Back,Postcard,High,2,No,Low,2,1,3,Yes,940,1549,1361,523,327
1314,No,Points,Postcard,Low,1,No,High,1,2,3,Yes,1633,1849,1547,1520,1616
1315,No,Points,Postcard,Medium,1,Yes,High,1,1,3,Yes,197.25,361,102,83,243
1316,No,Cash Back,Letter,High,2,No,Medium,4,1,3,Yes,269,283,459,14,320
1317,No,Cash Back,Letter,Low,1,Yes,Medium,2,1,4,No,1415.5,1967,1528,1260,907
1318,No,Points,Postcard,High,1,No,High,2,1,4,No,228,240,429,86,157
1319,No,Points,Letter,High,2,No,Low,2,1,4,Yes,1294.75,1317,1088,2267,507
1320,No,Air Miles,Postcard,High,1,Yes,Low,1,1,3,Yes,804,943,722,746,805
1321,No,Air Miles,Postcard,Medium,2,No,Low,2,1,5,Yes,1279.75,1457,1678,1214,770
1322,No,Points,Postcard,Medium,2,No,Medium,1,1,3,No,321.25,447,238,483,117
1323,No,Air Miles,Letter,Medium,1,No,Low,1,1,4,Yes,1202.5,310,1541,1865,1094
1324,No,Points,Postcard,Low,1,No,Low,1,1,3,Yes,755.25,577,683,775,986
1325,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,794.75,985,838,678,678
1326,No,Cash Back,Postcard,Medium,1,Yes,Low,2,1,3,No,1053.25,2072,1424,437,280
1327,No,Points,Letter,Low,1,No,Low,1,1,1,Yes,1061.75,361,1587,1358,941
1328,No,Cash Back,Letter,Medium,2,No,Medium,1,1,4,Yes,891.25,1633,1268,579,85
1329,No,Cash Back,Letter,Medium,2,No,High,2,1,5,No,1120,160,1291,1695,1334
1330,No,Air Miles,Letter,Medium,1,No,Medium,2,2,4,Yes,1043.75,619,863,1631,1062
1331,No,Air Miles,Postcard,Low,2,No,Low,2,1,4,No,1261.75,746,1385,1256,1660
1332,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,No,336,169,323,354,498
1333,No,Air Miles,Postcard,Medium,1,No,Medium,1,2,3,Yes,1570.5,745,1857,2053,1627
1334,Yes,Points,Letter,Medium,1,No,Low,1,1,1,No,1420.75,1127,1576,1798,1182
1335,No,Points,Postcard,High,1,No,Low,2,1,2,Yes,254.75,277,310,338,94
1336,No,Cash Back,Letter,Medium,1,No,High,3,1,4,No,200.75,248,202,247,106
1337,No,Air Miles,Letter,Medium,1,No,High,1,1,2,No,1254,732,1755,2008,521
1338,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,3,No,986,1518,1279,975,172
1339,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,755.5,675,841,817,689
1340,No,Points,Postcard,Medium,1,No,High,3,1,3,Yes,1100.75,876,474,1666,1387
1341,No,Air Miles,Postcard,Low,1,No,High,2,1,3,No,1052.5,946,655,1332,1277
1342,No,Cash Back,Postcard,Medium,1,Yes,Low,3,2,3,Yes,1078,234,1311,1910,857
1343,No,Air Miles,Postcard,High,2,No,High,1,1,3,No,999,76,1127,1436,1357
1344,No,Air Miles,Letter,Low,2,No,Medium,1,1,5,Yes,853.25,1504,940,458,511
1345,No,Air Miles,Postcard,Low,1,Yes,Low,1,1,3,No,748.5,796,859,743,596
1346,No,Air Miles,Letter,High,1,No,High,2,1,3,Yes,993.25,550,907,1488,1028
1347,No,Air Miles,Postcard,High,1,No,Medium,2,1,3,Yes,1024.75,1998,1443,552,106
1348,No,Air Miles,Postcard,High,1,No,Low,2,1,4,Yes,762.5,975,738,736,601
1349,No,Points,Letter,High,1,No,Low,1,2,3,Yes,822.25,913,516,882,978
1350,No,Air Miles,Letter,Low,1,No,Medium,2,1,5,Yes,938.75,634,474,1973,674
1351,No,Air Miles,Letter,High,1,No,High,1,1,3,No,803,11,1205,937,1059
1352,No,Air Miles,Postcard,Low,1,No,Low,3,1,3,No,994.5,1803,1207,715,253
1353,No,Air Miles,Postcard,Low,1,No,Low,1,1,4,Yes,953,1364,1614,421,413
1354,No,Air Miles,Letter,High,2,No,Medium,2,1,3,No,1145,497,1728,1541,814
1355,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,5,Yes,1066.5,719,451,1603,1493
1356,No,Air Miles,Postcard,High,3,No,Low,2,1,2,No,270.5,475,467,114,26
1357,No,Cash Back,Letter,High,1,No,High,1,1,4,Yes,806.25,1227,1009,530,459
1358,No,Cash Back,Postcard,Medium,2,No,Low,3,1,2,Yes,176.25,461,93,109,42
1359,No,Air Miles,Postcard,High,1,No,Medium,1,2,4,No,165.5,121,324,154,63
1360,No,Air Miles,Postcard,High,1,No,Medium,2,1,3,No,1297.75,1014,877,1645,1655
1361,No,Cash Back,Postcard,Low,1,No,Low,1,1,3,Yes,1381.5,878,1383,1930,1335
1362,No,Cash Back,Letter,Low,1,No,Low,2,1,5,Yes,802.5,835,901,640,834
1363,No,Air Miles,Letter,High,2,No,Medium,2,2,1,No,759,967,573,676,820
1364,No,Cash Back,Letter,Medium,1,No,Low,1,1,5,No,926.75,213,828,2000,666
1365,No,Points,Letter,Low,2,Yes,Medium,1,1,2,Yes,1042.75,1758,1265,775,373
1366,No,Cash Back,Letter,Low,1,No,Medium,2,1,6,No,993,45,1417,1471,1039
1367,No,Points,Letter,Medium,1,No,High,2,1,4,Yes,1227.25,904,1276,991,1738
1368,No,Cash Back,Letter,High,2,No,Low,2,1,5,Yes,1204.75,911,1462,1902,544
1369,No,Cash Back,Postcard,Low,1,Yes,High,2,1,5,Yes,709.25,820,847,598,572
1370,No,Air Miles,Postcard,High,2,No,Medium,1,2,2,Yes,1025.75,712,687,1257,1447
1371,No,Air Miles,Postcard,Medium,1,Yes,Low,2,1,3,No,947.5,1526,1461,691,112
1372,No,Cash Back,Postcard,Low,3,No,High,2,1,3,Yes,97.5,70,213,26,81
1373,No,Points,Postcard,Medium,3,No,Low,3,1,4,Yes,988.75,860,555,948,1592
1374,Yes,Air Miles,Letter,Medium,2,No,Medium,2,1,2,Yes,761,968,639,518,919
1375,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,3,Yes,1113.5,834,1128,1004,1488
1376,No,Cash Back,Letter,High,3,No,High,1,1,5,No,1069.75,1299,538,1224,1218
1377,No,Cash Back,Letter,Medium,2,No,High,1,1,3,Yes,1677.5,1621,1759,1800,1530
1378,No,Air Miles,Postcard,Medium,1,No,Medium,1,2,4,Yes,1055.25,1923,1013,927,358
1379,No,Air Miles,Postcard,Low,2,No,Medium,1,2,4,Yes,1175.75,836,1069,1939,859
1380,No,Air Miles,Postcard,Medium,2,No,Low,1,1,3,Yes,1184.5,1022,1138,1991,587
1381,No,Cash Back,Letter,Medium,2,No,High,2,1,4,No,742.75,961,628,774,608
1382,No,Air Miles,Letter,Medium,1,Yes,Low,3,1,3,No,831.75,46,1478,1353,450
1383,No,Cash Back,Letter,Medium,2,No,Medium,2,1,4,Yes,218.25,38,190,460,185
1384,No,Air Miles,Postcard,High,2,No,High,1,2,1,No,173.5,374,25,53,242
1385,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,Yes,1097.75,68,818,1760,1745
1386,No,Cash Back,Letter,Medium,2,No,Medium,2,1,2,Yes,693.5,557,873,817,527
1387,No,Points,Postcard,Low,1,Yes,High,3,1,3,Yes,1206.25,557,1706,898,1664
1388,No,Points,Postcard,Medium,1,No,Low,3,1,5,Yes,1160.75,119,1656,1869,999
1389,Yes,Cash Back,Letter,Low,1,No,Low,3,1,3,Yes,943,242,1087,1428,1015
1390,No,Air Miles,Letter,High,2,No,Low,1,1,3,Yes,1357.75,695,1036,2175,1525
1391,No,Air Miles,Letter,Medium,1,No,Medium,2,1,4,No,788.25,906,819,622,806
1392,No,Points,Letter,Low,2,No,Medium,2,1,1,Yes,1244,698,1552,1785,941
1393,Yes,Air Miles,Postcard,Low,1,No,Medium,4,1,4,Yes,1003,639,426,1478,1469
1394,No,Points,Letter,High,1,No,Low,1,1,3,Yes,903.75,875,973,851,916
1395,No,Cash Back,Letter,Low,1,No,Low,2,2,4,Yes,1119.5,1872,810,926,870
1396,No,Air Miles,Letter,Medium,1,Yes,Medium,2,1,2,Yes,1061.75,531,1256,1203,1257
1397,No,Cash Back,Postcard,Low,1,Yes,High,2,1,3,Yes,948.25,341,1175,913,1364
1398,No,Air Miles,Postcard,Medium,1,Yes,High,2,1,2,Yes,1063.25,313,915,1821,1204
1399,No,Air Miles,Letter,Low,1,No,High,1,1,1,Yes,1097.25,1827,1262,862,438
1400,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,323.5,364,232,400,298
1401,No,Cash Back,Postcard,High,1,No,Low,1,1,3,No,271.5,235,59,467,325
1402,Yes,Air Miles,Postcard,Low,1,No,Medium,1,2,3,No,806.25,973,865,622,765
1403,No,Air Miles,Letter,Medium,1,Yes,Medium,3,2,4,Yes,945,118,776,1310,1576
1404,No,Air Miles,Postcard,Medium,1,No,High,4,2,4,Yes,1130.5,1925,972,969,656
1405,No,Cash Back,Letter,High,2,No,Medium,1,1,4,No,1047.25,1729,958,818,684
1406,Yes,Air Miles,Postcard,High,1,No,Medium,1,1,4,No,978.25,1582,1326,994,11
1407,No,Cash Back,Postcard,Low,1,Yes,High,1,2,4,Yes,1170.5,432,1414,2011,825
1408,No,Air Miles,Letter,Medium,2,Yes,High,2,1,3,Yes,920,1692,1177,526,285
1409,No,Air Miles,Postcard,High,1,No,High,2,1,4,No,254,454,485,68,9
1410,No,Cash Back,Letter,Medium,1,No,Medium,2,1,3,Yes,1084.25,1829,984,1018,506
1411,No,Cash Back,Postcard,Low,1,No,Medium,2,1,5,No,318,170,454,309,339
1412,No,Air Miles,Postcard,Medium,1,No,Low,1,1,5,Yes,1135,1999,1279,902,360
1413,No,Points,Letter,Medium,1,No,Medium,1,1,3,Yes,303.5,415,144,216,439
1414,No,Cash Back,Letter,Medium,2,No,High,2,1,5,Yes,654,909,538,654,515
1415,No,Points,Letter,Low,1,No,Low,3,3,2,No,1254.5,542,1562,1879,1035
1416,No,Cash Back,Letter,Low,2,No,Medium,2,1,3,Yes,1193,488,1665,1503,1116
1417,No,Air Miles,Postcard,High,1,Yes,High,2,1,3,No,728.5,858,886,528,642
1418,No,Cash Back,Postcard,Medium,1,No,High,2,1,6,No,1165.75,676,1791,1192,1004
1419,No,Air Miles,Postcard,High,1,Yes,Medium,3,2,5,Yes,789.5,815,691,708,944
1420,Yes,Air Miles,Letter,Medium,1,No,Medium,2,1,5,No,787.25,246,435,957,1511
1421,No,Points,Postcard,Low,1,No,Medium,2,2,3,No,812.25,826,514,924,985
1422,No,Air Miles,Letter,High,1,No,Medium,3,1,3,Yes,901.5,1766,1132,627,81
1423,No,Air Miles,Letter,Medium,1,No,Medium,3,2,3,Yes,685,751,739,502,748
1424,No,Points,Postcard,High,1,No,High,3,2,3,No,764.75,875,517,718,949
1425,No,Cash Back,Letter,Medium,2,No,High,2,2,4,Yes,1097.25,665,1412,1670,642
1426,No,Cash Back,Postcard,High,1,No,Low,2,1,2,Yes,1125.75,472,1159,1072,1800
1427,No,Air Miles,Letter,High,1,No,High,2,2,4,No,161.5,94,131,186,235
1428,No,Points,Letter,Medium,1,No,Low,2,1,5,Yes,1159.25,565,795,1419,1858
1429,No,Points,Letter,Medium,1,No,Low,2,1,5,No,764.5,912,847,647,652
1430,Yes,Points,Postcard,High,1,Yes,Low,2,1,2,Yes,1310.25,866,1011,2289,1075
1431,No,Air Miles,Postcard,Low,1,No,High,2,1,4,Yes,1101.5,1921,1253,754,478
1432,No,Air Miles,Postcard,Medium,1,No,High,1,1,3,Yes,1225.5,826,1328,1484,1264
1433,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,1019,1912,1304,663,197
1434,No,Points,Postcard,Medium,1,No,Low,1,2,3,No,206.25,95,363,279,88
1435,No,Cash Back,Letter,Medium,1,No,Medium,2,1,2,Yes,1324.25,1541,1494,1303,959
1436,Yes,Air Miles,Postcard,Medium,1,No,Low,2,1,3,Yes,252.75,62,419,122,408
1437,No,Cash Back,Letter,High,1,No,Low,3,1,3,Yes,1723.5,1632,1858,1606,1798
1438,No,Cash Back,Postcard,High,1,No,High,2,1,3,Yes,1323,1012,980,1906,1394
1439,No,Cash Back,Letter,Medium,2,No,Medium,2,2,2,Yes,871.25,736,895,950,904
1440,No,Air Miles,Letter,Medium,1,No,High,2,1,4,Yes,1602.75,670,1747,2263,1731
1441,No,Air Miles,Letter,Medium,1,No,High,2,1,4,Yes,876.5,116,930,2008,452
1442,No,Points,Postcard,Medium,1,No,High,2,1,4,No,1091,145,1271,2195,753
1443,No,Cash Back,Postcard,High,1,No,Low,1,1,5,Yes,980.5,1821,1395,680,26
1444,No,Cash Back,Letter,Medium,1,No,High,1,1,3,No,856,1752,1109,523,40
1445,No,Cash Back,Postcard,Low,1,No,Low,3,1,2,Yes,1069.25,1677,1485,936,179
1446,No,Cash Back,Postcard,Low,1,No,High,2,1,3,No,1161,301,1685,1309,1349
1447,No,Air Miles,Letter,Low,1,No,Medium,2,1,4,No,682.25,524,553,781,871
1448,No,Cash Back,Postcard,High,1,No,Low,3,1,5,Yes,1006,453,885,1492,1194
1449,No,Air Miles,Postcard,High,1,No,Medium,1,1,5,No,957.75,1725,1228,795,83
1450,No,Air Miles,Postcard,Medium,1,No,Low,1,1,2,Yes,757.75,807,611,635,978
1451,No,Points,Postcard,Medium,1,Yes,Medium,1,2,5,Yes,878.25,286,847,1973,407
1452,No,Cash Back,Postcard,Medium,2,Yes,Low,3,3,3,No,714,501,789,699,867
1453,No,Points,Postcard,Medium,1,Yes,Low,3,1,4,No,658.5,572,720,717,625
1454,No,Points,Postcard,Medium,1,No,High,1,2,4,Yes,725.5,644,696,842,720
1455,No,Air Miles,Postcard,Medium,1,No,Medium,3,2,5,Yes,1038.5,522,1155,1748,729
1456,No,Points,Letter,Low,1,No,High,3,1,3,Yes,762.75,626,832,940,653
1457,No,Cash Back,Postcard,High,1,No,High,1,1,4,No,360.25,178,332,474,457
1458,No,Air Miles,Postcard,High,1,No,Medium,2,1,3,No,230.5,344,234,192,152
1459,No,Points,Letter,Medium,2,No,Low,3,1,5,Yes,749.5,764,586,798,850
1460,No,Air Miles,Postcard,High,1,No,High,2,1,3,No,1386.5,778,1068,1621,2079
1461,Yes,Air Miles,Letter,Low,1,No,Medium,2,2,5,No,897,960,466,1710,452
1462,No,Air Miles,Letter,Low,1,No,Low,3,1,4,Yes,697.75,716,610,842,623
1463,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,881,570,1211,1127,616
1464,No,Air Miles,Letter,Low,2,Yes,High,2,1,3,Yes,1097.75,830,1250,1662,649
1465,Yes,Points,Postcard,Medium,1,No,Medium,3,1,3,Yes,1000.5,501,491,1195,1815
1466,No,Air Miles,Postcard,Low,1,No,High,3,1,2,No,928.25,861,492,1075,1285
1467,No,Cash Back,Postcard,Low,1,No,Low,3,1,3,Yes,1093.25,618,576,1511,1668
1468,No,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,767.25,608,643,986,832
1469,No,Points,Postcard,Medium,2,No,Low,1,1,2,No,862.5,103,1364,1272,711
1470,No,Points,Postcard,High,1,No,Medium,1,1,1,Yes,1202.5,1049,1222,1249,1290
1471,No,Points,Letter,Medium,1,No,High,1,1,3,No,775,655,933,825,687
1472,No,Air Miles,Postcard,High,1,No,High,2,1,5,No,722.75,643,902,614,732
1473,No,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,Yes,1157.5,1965,1168,1192,305
1474,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,4,Yes,283.75,280,128,406,321
1475,No,Cash Back,Postcard,High,1,Yes,High,1,1,3,No,1242.25,840,1529,1658,942
1476,No,Air Miles,Letter,Low,1,No,Low,1,1,3,No,961,103,447,1670,1624
1477,No,Points,Letter,High,1,No,High,2,1,3,No,144,58,294,34,190
1478,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,4,Yes,992,1586,1252,903,227
1479,No,Cash Back,Letter,Medium,1,No,Low,3,1,4,Yes,1144.5,869,1106,822,1781
1480,No,Air Miles,Postcard,Low,1,No,High,2,1,3,Yes,278.75,483,20,348,264
1481,No,Air Miles,Letter,High,1,No,Medium,1,1,3,Yes,998.5,1880,1138,812,164
1482,No,Points,Letter,High,2,No,Medium,1,1,4,Yes,1088,281,488,1685,1898
1483,No,Air Miles,Postcard,Medium,2,Yes,Medium,1,1,2,No,205.5,209,239,1,373
1484,No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,714,898,618,526,814
1485,No,Air Miles,Letter,Low,1,No,Medium,2,1,1,Yes,817.75,844,932,631,864
1486,No,Points,Postcard,Medium,1,Yes,High,1,1,3,No,193,17,251,403,101
1487,No,Cash Back,Postcard,High,1,No,Low,2,1,2,Yes,1599.5,1728,1543,1503,1624
1488,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,692.5,802,792,596,580
1489,No,Cash Back,Postcard,High,2,No,High,3,2,2,Yes,930.5,1344,1333,784,261
1490,No,Points,Postcard,High,1,No,High,2,2,5,No,977.5,777,586,1019,1528
1491,No,Air Miles,Letter,Medium,2,Yes,Medium,3,1,3,Yes,808.75,882,691,856,806
1492,No,Cash Back,Postcard,High,1,No,Medium,4,1,5,Yes,1043.5,2039,1174,489,472
1493,No,Air Miles,Letter,Medium,3,No,Medium,2,1,3,Yes,913.25,1780,1150,642,81
1494,No,Points,Letter,High,1,No,Low,3,1,3,No,1039.75,2152,801,461,745
1495,No,Air Miles,Letter,High,1,No,Medium,2,1,4,No,166,175,143,254,92
1496,No,Points,Letter,Low,1,Yes,High,1,1,3,Yes,1145.75,932,1292,1135,1224
1497,No,Points,Postcard,Medium,1,Yes,High,1,1,4,Yes,802.5,952,840,587,831
1498,No,Points,Postcard,Low,1,No,High,1,1,2,Yes,828,341,726,850,1395
1499,No,Points,Postcard,High,2,No,Medium,2,1,3,No,1080,633,1042,1078,1567
1500,No,Cash Back,Letter,Medium,1,No,Medium,3,2,5,Yes,275.75,206,485,176,236
1501,No,Points,Letter,Low,1,No,Medium,2,1,3,Yes,1120.5,347,965,1612,1558
1502,No,Cash Back,Letter,Medium,1,No,High,2,1,5,Yes,1170.75,1243,1588,915,937
1503,No,Cash Back,Postcard,High,2,No,High,1,2,4,No,328.75,276,486,422,131
1504,No,Points,Letter,High,2,No,Medium,2,1,5,Yes,917.25,1720,1253,687,9
1505,No,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,3,Yes,1235.75,524,1439,2044,936
1506,No,Cash Back,Letter,Medium,2,No,High,1,2,2,Yes,1464.5,534,1365,1784,2175
1507,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,1171.75,2001,1185,510,991
1508,No,Points,Letter,Medium,1,Yes,Low,2,2,4,Yes,951,1809,1210,771,14
1509,No,Air Miles,Letter,Medium,1,No,Medium,2,1,3,Yes,1081.25,1988,1468,428,441
1510,No,Points,Letter,Medium,1,No,Low,1,2,3,Yes,1153.75,914,540,1676,1485
1511,No,Cash Back,Letter,Medium,1,No,Medium,2,2,5,Yes,1751.25,1569,1790,1706,1940
1512,No,Points,Postcard,Low,1,No,High,3,1,4,Yes,799.25,242,627,840,1488
1513,No,Points,Postcard,High,2,No,High,1,1,5,Yes,826,413,642,1451,798
1514,No,Points,Letter,Medium,1,Yes,Medium,1,1,4,Yes,1035,662,1271,1544,663
1515,No,Points,Postcard,Low,1,No,Medium,3,2,3,No,237,460,175,130,183
1516,No,Air Miles,Postcard,High,1,No,Medium,2,1,5,No,1097.5,441,1654,1738,557
1517,No,Air Miles,Postcard,Medium,3,No,Low,2,1,3,No,819,924,537,901,914
1518,No,Points,Postcard,Medium,2,No,Medium,2,1,4,No,923.5,1818,1114,585,177
1519,No,Cash Back,Letter,High,1,Yes,High,1,1,2,No,1284.75,227,1728,1483,1701
1520,No,Points,Postcard,Medium,1,No,Medium,3,1,4,No,936.25,1533,1284,685,243
1521,No,Air Miles,Postcard,Low,2,No,Medium,2,1,4,No,774,777,881,908,530
1522,No,Cash Back,Letter,Low,1,No,High,2,1,5,Yes,674.75,885,660,513,641
1523,No,Points,Letter,Medium,1,No,High,2,1,4,Yes,640.25,690,517,756,598
1524,No,Points,Letter,Low,1,No,Low,2,1,3,No,1210.75,1049,788,1365,1641
1525,No,Points,Letter,High,2,Yes,High,1,1,2,Yes,289.25,31,422,381,323
1526,No,Cash Back,Postcard,Low,1,No,Low,2,1,3,Yes,937.25,132,1044,1679,894
1527,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,5,Yes,874,1518,1146,652,180
1528,No,Points,Letter,Medium,1,No,Low,2,1,4,No,321.5,337,61,419,469
1529,No,Cash Back,Letter,Medium,1,No,Low,3,1,4,Yes,1031.75,471,1282,1102,1272
1530,No,Air Miles,Letter,Low,1,No,Medium,4,1,1,Yes,296,228,238,460,258
1531,No,Points,Postcard,High,1,No,High,1,1,4,Yes,1013,1847,1096,986,123
1532,No,Cash Back,Letter,Medium,2,No,High,2,1,2,Yes,1217.75,229,1302,2143,1197
1533,No,Air Miles,Letter,Medium,1,No,High,1,2,4,Yes,908.25,351,738,1197,1347
1534,No,Cash Back,Letter,Medium,1,No,Low,1,2,3,No,957.5,845,531,1237,1217
1535,No,Air Miles,Postcard,High,1,Yes,Medium,3,1,3,Yes,1280.5,918,619,1553,2032
1536,No,Points,Letter,Low,2,No,Medium,2,1,4,Yes,684.75,513,668,568,990
1537,No,Air Miles,Letter,Medium,2,No,Medium,1,2,4,No,950.5,1706,1016,986,94
1538,Yes,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,No,1073,939,611,1032,1710
1539,No,Cash Back,Postcard,High,1,Yes,Low,2,1,3,No,273.75,320,246,208,321
1540,No,Air Miles,Postcard,Medium,1,No,High,2,2,3,Yes,1787,1960,1729,1804,1655
1541,No,Air Miles,Postcard,Low,3,No,Low,2,1,2,Yes,336.5,398,140,393,415
1542,No,Points,Postcard,High,1,No,Low,1,1,4,Yes,948.25,490,933,1370,1000
1543,No,Cash Back,Postcard,Medium,2,Yes,Medium,2,2,3,Yes,1822.75,1919,1911,1700,1761
1544,No,Cash Back,Letter,Medium,1,No,High,1,1,1,No,1054.5,1802,1426,542,448
1545,No,Air Miles,Letter,High,2,No,Low,3,2,6,Yes,1179,2059,1520,480,657
1546,No,Cash Back,Postcard,High,1,No,High,1,1,3,No,1147,308,1053,1444,1783
1547,No,Points,Postcard,Low,2,No,Medium,2,1,4,No,1129.75,493,1689,1198,1139
1548,No,Points,Postcard,Low,1,No,Medium,3,1,2,Yes,906.75,1682,1128,789,28
1549,No,Cash Back,Postcard,Low,1,No,Medium,1,1,6,Yes,1269.75,769,656,1673,1981
